Transect ,Date,Time,Relative Humidity ,Temperature,Air Pressure hPa,Soil Moisture,Mat Depth,Sward Length,Light Intensity,Light unit,Dung,Dominant Vegetation ,Coordinates
CF5.2,14/06/2022,10:53,38.9,23,1021.7,7.3,9.2,131,2.83,k,,Fern,"51.38027° N, 0.73575° W"
CF6.1,14/06/2022,11:12,30.8,27.7,1021.7,11.5,6.3,110,OL,,,Fern,"51.37846° N, 0.73674° W"
CF6.2,14/06/2022,11:34,31.7,26.2,1021.3,8,8.3,70,OL,,,Fern,"51.37879° N, 0.73752° W"
CF7.1,14/06/2022,11:52,36.4,26.1,1021.3,8.1,10.1,142,33.74,k,,Fern,"51.37861° N, 0.74302° W"
CF7.2,14/06/2022,12:10,41.1,21,1021.3,9.5,2.1,119,3.86,k,,Fern,"51.37899° N, 0.74398° W"
UG9.1,20/06/2022,12:03,39.6,21.4,1019.7,0,9.4,120.9,OL,,,Grass,"51.41095° N, 0.64901° W"
UG9.2,20/06/2022,12:18,31.4,26.2,1019.7,0,5.1,57,OL,,,Grass,"51.41139° N, 0.64816° W"
UG10.1,20/06/2022,12:24,32.7,23.8,1019.7,1.7,2.6,116.4,OL,,,Grass,"51.41126° N, 0.64960° W"
UG10.2,20/06/2022,12:40,29.4,26.7,1019.7,0,3.5,106.7,OL,,,Grass,"51.41162° N, 0.64866° W"
UG8.1,15/06/2022,11:14,35.1,25.6,1018.8,13.9,4,62.5,OL,,,Grass,"51.41376° N, 0.65115° W"
UG8.2,15/06/2022,11:48,34.3,30.3,1018.6,12.5,6,79,OL,,,Grass,"51.41312° N, 0.65119° W"
WF6.1,15/06/2022,12:10,41.3,27.2,1018.6,16.1,1,82,2.18,k,,Grass,"51.41333° N, 0.64939° W"
WF6.2,15/06/2022,13:03,43.1,24.4,1018.3,14.3,4.8,78,1.83,k,,Grass,"51.41377° N, 0.64857° W"
WF7.1,15/06/2022,13:27,42.1,25.3,1018.3,8.9,2,30,1.03,k,,Grass,"51.41273° N, 0.64724° W"
